name,genre,hours,year,platform
League of Legends,Multiplayer Online Battle Arena (MOBA),706,2016,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),643,2017,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),552,2018,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),210,2019,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),689,2020,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),275,2021,PC
League of Legends,Multiplayer Online Battle Arena (MOBA),105,2022,PC
Undertale,RPG,90,2016,PC
Undertale,RPG,51,2022,PC
Deltarune,RPG,27,2018,PC
Castle Crashers,Fighting,55,2020,Xbox One
Castle Crashers,Fighting,29,2021,Xbox One
Castle Crashers,Fighting,17,2022,Xbox One
Super Mario Odyssey,Action-adventure,146,2017,Nintendo Switch
Super Mario Odyssey,Action-adventure,74,2018,Nintendo Switch
Super Mario 3D All-Stars,Action-adventure,98,2020,Nintendo Switch
Super Mario 3D All-Stars,Action-adventure,33,2021,Nintendo Switch
Super Smash Bros. Ultimate,Fighting,30,2019,Nintendo Switch
Super Smash Bros. Ultimate,Fighting,50,2020,Nintendo Switch
Super Smash Bros. Ultimate,Fighting,21,2021,Nintendo Switch
Super Smash Bros. Ultimate,Fighting,17,2022,Nintendo Switch
Sonic Mania,Action-adventure,40,2017,PC
Sonic Mania,Action-adventure,18,2018,PC
Sonic Adventure 2,Action-adventure,62,2021,PC
Sonic Heroes,Action-adventure,31,2021,PC
Pokemon Alpha Sapphire,RPG,59,2016,Nintendo 3DS
Pokemon Sun,RPG,42,2017,Nintendo 3DS
Pokemon Black 2,RPG,51,2021,PC
Pokemon Shield,RPG,34,2020,Nintendo Switch
Pokemon Brilliant Diamond,RPG,12,2022,Nintendo Switch
Ori and the Blind Forest,Action-adventure,37,2019,Nintendo Switch
Ori and the Will of the Wisps,Action-adventure,38,2020,Nintendo Switch
Celeste,Action-adventure,111,2021,Nintendo Switch
Celeste,Action-adventure,71,2022,Nintendo Switch
Fortnite,Battle Royale,62,2017,PC
Fortnite,Battle Royale,223,2018,PC
Fortnite,Battle Royale,138,2019,PC
Fortnite,Battle Royale,101,2020,PC
Fortnite,Battle Royale,40,2021,PC
Fortnite,Battle Royale,22,2022,PC
Fall Guys,Battle Royale,35,2022,PC
Call of Duty: Warzone,Battle Royale,25,2021,PC
Call of Duty: Warzone,Battle Royale,21,2022,PC
Minecraft,Sandbox,102,2020,PC
Minecraft,Sandbox,43,2021,PC
Minecraft,Sandbox,26,2022,PC
The Last of Us,RPG,34,2017,PlayStation 4
The Last of Us: Part 2,RPG,47,2020,PlayStation 4
Red Dead Redemption 2,RPG,32,2018,Xbox One
Red Dead Redemption 2,RPG,11,2019,Xbox One
